reach,predicted_reach,performance,shares,saves,comments,likes
7428.0,3419.3613951154803,Viral,119.0,37.0,2.0,327.0
6138.0,-3011.750128020143,Poor,28.0,11.0,1.0,187.0
1496032.0,1929783.6814617938,Average,23137.0,6826.0,574.0,189893.0
15665.0,56794.119190381614,Poor,1406.0,267.0,7.0,324.0
8615.0,2263.9101280606646,Viral,44.0,52.0,0.0,279.0
4408.0,23013.669515233178,Poor,18.0,8.0,15.0,167.0
6425.0,-1018.6164132006397,Poor,22.0,12.0,2.0,218.0
8050.0,-1723.5963922576002,Poor,45.0,9.0,2.0,315.0
14927.0,27133.73825893517,Average,266.0,131.0,6.0,781.0
9732.0,8396.037703191478,Good,73.0,76.0,1.0,334.0
9135.0,17361.582585825417,Average,53.0,22.0,11.0,459.0
9724.0,25616.89127076729,Poor,84.0,14.0,16.0,394.0
4704.0,-5210.468633891266,Poor,15.0,9.0,0.0,150.0
9348.0,2366.887203438242,Viral,45.0,20.0,3.0,214.0
5727.0,6147.124191827661,Average,38.0,9.0,6.0,179.0
9570.0,-647.0077471262957,Poor,56.0,14.0,2.0,244.0
8212.0,14240.239864168165,Average,21.0,12.0,10.0,175.0
8653.0,12567.444378683678,Average,42.0,15.0,9.0,336.0
8522.0,-537.4479934961628,Poor,61.0,5.0,3.0,327.0
41045.0,17924.790955393113,Viral,46.0,38.0,10.0,635.0
7629.0,5422.9322190296625,Good,20.0,6.0,6.0,246.0
422396.0,124886.34319405467,Viral,702.0,434.0,37.0,8053.0
11797.0,41473.747055328015,Poor,103.0,18.0,24.0,423.0
17493.0,66529.49367729308,Poor,487.0,64.0,33.0,894.0
10955.0,35919.84728480368,Poor,39.0,8.0,22.0,350.0
9290.0,51065.412610709536,Poor,36.0,8.0,30.0,356.0
9505.0,33420.07935217386,Poor,73.0,15.0,20.0,365.0
9999.0,30509.652419757535,Poor,38.0,21.0,18.0,419.0
10465.0,31349.68573226509,Poor,36.0,26.0,18.0,442.0
11084.0,44823.74158608309,Poor,57.0,16.0,26.0,417.0
12695.0,35327.20504657545,Poor,93.0,18.0,21.0,620.0
18331.0,12200.556269566692,Excellent,88.0,17.0,9.0,705.0
22215.0,48817.92684438194,Poor,179.0,38.0,27.0,1359.0
26870.0,55612.26877202286,Poor,208.0,45.0,30.0,1452.0
11060.0,471.46329719795904,Viral,55.0,16.0,3.0,753.0
8748.0,5787.4319243462705,Excellent,67.0,24.0,5.0,723.0
9058.0,12577.854703150442,Average,80.0,17.0,9.0,528.0
16185.0,3248.5630205364105,Viral,34.0,30.0,3.0,612.0
47274.0,96838.46180110361,Poor,323.0,346.0,25.0,2998.0
12095.0,-1977.2818363270162,Poor,44.0,9.0,2.0,428.0
8605.0,4370.478758904921,Excellent,28.0,11.0,5.0,277.0
27429.0,27612.755661414667,Average,194.0,77.0,12.0,1263.0
11473.0,-1710.6616565849608,Poor,31.0,9.0,2.0,296.0
15812.0,7493.49677314035,Viral,34.0,34.0,5.0,730.0
31110.0,100855.93711329946,Poor,432.0,402.0,21.0,2395.0
15957.0,13103.020097048899,Good,40.0,51.0,6.0,435.0
741529.0,1029636.0167670895,Average,11354.0,4892.0,99.0,23098.0
609299.0,2494310.900504875,Poor,14777.0,12009.0,217.0,41404.0
1980841.0,1695296.0561613915,Good,2894.0,4035.0,636.0,104430.0
109254.0,199932.75370935377,Average,824.0,994.0,24.0,8437.0
2569149.0,2200570.747181749,Good,73381.0,9201.0,335.0,103154.0
33496.0,15854.171521408753,Viral,93.0,124.0,1.0,864.0
24235.0,1587.3297755864305,Viral,42.0,52.0,0.0,581.0
1386862.0,1913952.996914382,Average,41462.0,8418.0,233.0,51987.0
31393.0,71362.61825102409,Poor,311.0,436.0,3.0,2937.0
18726.0,15965.245306321376,Good,70.0,70.0,6.0,706.0
64573.0,129278.43244185817,Poor,705.0,662.0,12.0,3137.0
80121.0,229459.51065409838,Poor,1034.0,1242.0,14.0,6807.0
8447.0,-5281.972229005127,Poor,17.0,9.0,0.0,184.0
16069.0,2674.980863645598,Viral,33.0,34.0,2.0,339.0
14972.0,29213.058172863282,Average,171.0,166.0,4.0,870.0
68452.0,20095.272129340137,Viral,130.0,127.0,5.0,2641.0
36117.0,131378.95180672666,Poor,855.0,624.0,16.0,2684.0
11038.0,-3641.0426137703334,Poor,23.0,19.0,0.0,257.0
19456.0,705.1877815474909,Viral,36.0,36.0,1.0,536.0
15255.0,6702.679991118037,Viral,44.0,46.0,3.0,357.0
32159.0,39194.17513940972,Average,116.0,144.0,12.0,1377.0
209149.0,80560.17633475692,Viral,530.0,526.0,4.0,7103.0
10562.0,-2425.086872757963,Poor,15.0,15.0,1.0,233.0
92662.0,50571.2387698676,Excellent,124.0,129.0,19.0,1028.0
80943.0,3712.5941897091434,Viral,59.0,66.0,1.0,1620.0
13048.0,3385.4175714450685,Viral,13.0,26.0,3.0,209.0
14032.0,10871.131991863695,Good,116.0,27.0,7.0,430.0
13046.0,-2318.2276046211355,Poor,81.0,27.0,0.0,361.0
32991.0,17047.002576542414,Excellent,70.0,54.0,8.0,636.0
154167.0,58517.10646559879,Viral,347.0,328.0,7.0,3459.0
26473.0,20634.635799212218,Good,221.0,120.0,4.0,1070.0
294043.0,519034.65550190373,Average,2739.0,2207.0,94.0,24087.0
1890124.0,1447616.2477095486,Good,12696.0,6863.0,178.0,62431.0
135898.0,140690.29115646225,Average,812.0,813.0,7.0,6001.0
52800.0,94271.21291025713,Average,331.0,306.0,27.0,2644.0
185283.0,190968.01264078342,Average,1187.0,897.0,26.0,6706.0
8562.0,-3705.320167599565,Poor,24.0,7.0,1.0,173.0
24270.0,59883.758981837134,Poor,295.0,306.0,8.0,1878.0
21441.0,21461.90700952024,Average,329.0,132.0,3.0,914.0
29948.0,41486.8659080496,Average,40.0,66.0,20.0,813.0
13740.0,9409.886285475355,Good,47.0,77.0,2.0,786.0
15986.0,20732.208184365394,Average,49.0,105.0,5.0,509.0
10550.0,-330.7923178203764,Poor,22.0,39.0,0.0,378.0
13002.0,2704.510567426989,Viral,143.0,23.0,3.0,396.0
11868.0,5087.697767867663,Viral,18.0,27.0,4.0,381.0
24048.0,14315.055383093975,Excellent,70.0,48.0,7.0,529.0
59963.0,63753.253410755075,Average,335.0,324.0,9.0,2477.0
36060.0,267804.4271329207,Poor,1240.0,1472.0,7.0,2319.0
46476.0,56795.68574269394,Average,279.0,210.0,15.0,1488.0
11355.0,-798.6817215096899,Poor,29.0,35.0,0.0,273.0
51211.0,61408.537211355375,Average,543.0,68.0,34.0,4420.0
16736.0,7705.090034139548,Viral,41.0,53.0,3.0,467.0
8976.0,-2497.203631254863,Poor,38.0,25.0,0.0,240.0
16017.0,32294.804553151866,Poor,156.0,132.0,9.0,994.0
16974.0,17082.39760377981,Average,101.0,86.0,5.0,669.0
14375.0,-1147.3445732660548,Poor,7.0,33.0,0.0,248.0
1496845.0,1053604.0794065264,Good,6408.0,5499.0,104.0,60755.0
15460.0,6865.667661407286,Viral,48.0,82.0,0.0,629.0
7789.0,-2029.0626610564177,Poor,15.0,17.0,1.0,216.0
9336.0,-855.6679027991458,Poor,22.0,35.0,0.0,292.0
14164.0,-1657.8431687609027,Poor,12.0,33.0,0.0,482.0
41021.0,53011.59241938153,Average,223.0,280.0,7.0,1954.0
12544.0,1938.1930906222788,Viral,34.0,50.0,0.0,255.0
7126.0,-4945.4890142576405,Poor,5.0,10.0,0.0,102.0
11143.0,8162.716393538025,Good,24.0,34.0,5.0,420.0
8504.0,20236.833409649527,Poor,89.0,100.0,5.0,367.0
32013.0,16211.043131862993,Excellent,35.0,46.0,8.0,335.0
15951.0,8320.909225859068,Excellent,49.0,25.0,6.0,500.0
127977.0,293789.8365207572,Poor,1173.0,1490.0,27.0,9061.0
6580.0,-4579.405324658721,Poor,3.0,13.0,0.0,177.0
13670.0,20388.102823596804,Average,52.0,41.0,11.0,627.0
5972.0,5222.177292149647,Good,23.0,59.0,1.0,345.0
6632.0,-990.774690788402,Poor,36.0,33.0,0.0,205.0
8747.0,1053.7940574777385,Viral,12.0,24.0,2.0,243.0
7077.0,19473.92835311727,Poor,16.0,10.0,13.0,213.0
7149.0,4593.0899685320455,Excellent,38.0,45.0,2.0,367.0
17196.0,3479.8421261230815,Viral,62.0,21.0,4.0,662.0
6649.0,550.8025567581772,Viral,29.0,32.0,1.0,277.0
10411.0,6554.319765017972,Excellent,42.0,24.0,5.0,355.0
10511.0,555.7704471333327,Viral,25.0,32.0,1.0,271.0
110043.0,143577.88660148732,Average,520.0,769.0,10.0,3444.0
602477.0,411575.9134905451,Good,4474.0,1857.0,55.0,12628.0
6408.0,10678.722025413717,Average,39.0,25.0,7.0,283.0
23088.0,1590.5686251110965,Viral,33.0,44.0,1.0,779.0
12079.0,4762.531878171301,Viral,34.0,12.0,5.0,187.0
36897.0,5514.583094722615,Viral,42.0,77.0,0.0,828.0
